,author,buyCount,desc,price,profile,publishDate,title,url
18,凹凸实验室,3103,京东、腾讯等大厂 H5 开发或 UI 开发工程师的真实实战技巧,19.9,凹凸曼,2018-03-15,大厂 H5 开发实战手册,https://juejin.im/book/5a7bfe595188257a7349b52a
19,雷克斯,2707,Go 服务器开发大型实战，带你一步步构建 API 开发中的各个功能点，最终完成一个企业级的 API 服务器,39.9,腾讯高级研发工程师，专注于后台服务器架构和开发,2018-06-27,基于 Go 语言构建企业级的 RESTful API 服务,https://juejin.im/book/5b0778756fb9a07aa632301e
20,凹凸实验室,2665,构建自己的第一个微信小游戏，让你的社交和游戏创意变为现实,9.9,凹凸曼,2018-08-31,微信小游戏开发入门：从 0 到 1 实现井字棋游戏,https://juejin.im/book/5b7be023e51d4538850305d0
21,有明,2619,带你快速掌握 Docker 这项新时代开发者必备的工具,19.9,全栈工程师，Docker 图书作者，Docker 第三方镜像项目发起者,2018-12-05,开发者必备的 Docker 实践指南,https://juejin.im/book/5b7ba116e51d4556f30b476c
22,sunshine小小倩,2595,从零开始学习 Canvas 相关知识，分析其特效，最终制作出炫酷的网页背景,9.9,饿了么 RMB FE,2017-12-21,如何使用 Canvas 制作出炫酷的网页背景特效,https://juejin.im/book/5a0ab8e2f265da43111fbab2
23,叶盛飞,2463,基于 Node.js 搭建敏捷高效的 RESTful 接口服务，走上小程序开发的全栈之路,9.9,前网易高级开发工程师，Adobe 中国认证讲师,2018-08-03T07:01:14.818Z,基于 hapi 的 Node.js 小程序后端开发实践指南,https://juejin.im/book/5b63fdba6fb9a04fde5ae6d0
24,刘志军,2122,爬虫基本原理、使用、抓包分析、存储数据、分析数据、数据可视化,19.9,CSDN 讲师，公众号 Python 之禅作者,2018-01-25,基于 Python 实现微信公众号爬虫,https://juejin.im/book/5a157c155188254a701eb3c1
25,王仕军,1999,"抛弃笨重的构建工具，拥抱轻巧而不失强大的 npm
 script，随小册赠送视频版教程。",19.9,前端周刊主笔，前端老司机，爱折腾爱分享,2017-12-30,用 npm script 打造超溜的前端工作流,https://juejin.im/book/5a1212bc51882531ea64df07
26,程墨,1868,深入了解 React 应用中的设计模式，总结业界验证的最佳实践，更进一步，了解React 未来新功能 Suspense 和 Hooks。,29.9,Hulu 架构师,2018-09-20T23:07:48.051Z,React 实战：设计模式和最佳实践,https://juejin.im/book/5ba42844f265da0a8a6aa5e9
27,Easy,1702,职业上的错误是不能回滚的，将陪伴你一生，帮助每一位程序员规划自己的职业生涯,29.9,方糖气球博主，曾创业帮上千名程序员找到知名公司工作,,程序员职业小白书 —— 如何规划和经营你的职业,https://juejin.im/book/59e17a7ff265da430629cc4e
28,lucefer,1546,介绍 WebGL 与 CSS 3D 开发的点点滴滴，详细阐述 3D 数学库的实现原理与使用，演示 3D 数学库对于 WebGL 开发和普通网页开发的重要作用，助力每个前端开发者轻松掌握 3D 开发的关键技术。,39.9,某大型互联网公司前端工程师,2018-09-26T03:00:05.761Z,WebGL 入门与实践,https://juejin.im/book/5baaf635f265da0ab915cc9f
29,晓梦轻寒,1388,手把手教你一步步构建一套易扩展、成体系的 App 后端服务器,19.9,腾讯高级后端工程师,2018-04-26,基于 Python 轻松自建 App 服务器,https://juejin.im/book/5ac160745188255c3200df1c
30,TaoBeier,1373,从上手实践到原理剖析，带你掌握 Kubernetes 必备技能。,19.9,网易有道资深运维开发，骨灰级 Linux 程序员，PyCon China 和 GITC 讲师,2018-12-24,Kubernetes 从上手到实践,https://juejin.im/book/5b9b2dc86fb9a05d0f16c8ac
31,王仕军,1355,写给前端开发者的第一本区块链开发入门指南，通过 DApp 开发实战（基于以太坊创始人  V 神的 DAICO 设计思想），深入掌握区块链及以太坊技术,69.0,ArcBlock 资深前端工程师，专注区块链端应用开发,2018-06-01,区块链开发入门：从 0 到 1 构建基于以太坊智能合约的 ICO DApp,https://juejin.im/book/5addb2eb6fb9a07abd0d4557
32,小问iwillwen,1233,使用 JavaScript、ECharts、Vue.js 等开发工具，完成各种数据结构的处理、转换、动态过滤以及数据可视化的开发。,29.9,七牛云高级研发工程师,2018-08-16,基于 JavaScript 开发灵活的数据应用,https://juejin.im/book/5a93727bf265da4e8c452960
33,有明,1002,深入浅出地带你领略 Laravel 框架的设计模式美学，一本你不可或缺的设计模式范本,19.9,全栈工程师，开源项目贡献者，关注基础理论和前沿技术,2018-01-07,详解 Laravel 源码中优秀的设计模式,https://juejin.im/book/5a261d8f5188253ee45b4b21
34,拉丁吴,973,研究响应式编程，探讨 ReactiveX 的底层概念和 RxJava 的高阶问题,9.9,糗事百科 Android工程师，喜欢研究问题,2017-12-24,响应式编程 —— RxJava 高阶指南,https://juejin.im/book/5a09997cf265da432002bf6a
35,廖雪峰,907,深入了解区块链、挖矿、钱包、签名等技术原理，对未来的数字货币世界做好准备,29.9,软件架构师，精通数字货币和区块链,,数字货币与区块链原理,https://juejin.im/book/59f954546fb9a04525776d7c
36,AsyncIns,753,拒绝裸奔，为你的 Scrapyd 增添权限验证、自定义 API、开发数据统计和美化界面的功能，带你逐步实现「唯你可用」的爬虫部署管理控制台。,29.9,资深爬虫工程师,2018-10-04T08:48:58.186Z,Python 实战：用 Scrapyd 打造个人化的爬虫部署管理控制台,https://juejin.im/book/5bb5d3fa6fb9a05d2a1d819a
37,朱小厮,702,从基础概念入手，再到原理深入，由浅入深理解 Kafka,29.9,某大型互联网公司基础架构部任职，著有《深入理解Kafka：核心设计与实践原理》和《RabbitMQ实战指南》，,2019-03-04T15:38:38.479Z,图解  Kafka 之实战指南,https://juejin.im/book/5c7d467e5188251b9156fdc0
38,四两哥,622,从 Node 基础知识点到 API 的使用，到 Node 的程序架构和启动流程，结合轻松易懂的代码案例来学习 Node 最核心的基础技能，帮你度过学习 Node 的晦涩期，轻松上手，轻松迎接跳槽面试。,19.9,Node 技术专家,2018-12-09,10+ 代码案例掌握 NodeJS 核心基础知识,https://juejin.im/book/5bc1bf3e5188255c3272e315
39,NewbieYoung,599,从 0 到 1，一步步带你基于 ThreeJS 实现一个炫酷的魔方微信小游戏,9.9,腾讯 ISUX UI工程师,2019-01-07,基于 ThreeJS 框架的魔方微信小游戏实践,https://juejin.im/book/5bc6bebee51d450e7e51c19c
40,Tony沈哲,491,快速上手 Kotlin 独有新特性，整合 Android 常用框架及 MVVM 思想进行 App 开发,19.9,Merculet移动端负责人，<< RxJava 2.x 实战 >> 作者,2019-06-15,Android 进阶：基于 Kotlin 的 Android App 开发实践,https://juejin.im/book/5af1c5ee6fb9a07a9f018368
41,飞行学校,425,使用 Swift 4 新特性 Codable，用更少的代码，更快地实现数据编解码,29.9,Mattt，AFNetworking 和 Alamofire 作者，苹果前技术作家,2018-04-20T06:26:15.266Z,使用 Swift Codable 进行高效的数据编解码,https://juejin.im/book/5ad19f07518825364001dd49
42,挖坑的张师傅,313,深入剖析 JVM 字节码，带你分析字节码黑科技、破解软件、从零实现一个 APM,19.9,CVTE 技术经理,2019-03-20,JVM 字节码从入门到精通,https://juejin.im/book/5c25811a6fb9a049ec6b23ee
43,飞行学校,216,从理论到应用，全面介绍 Swift 4 中面向协议的数字系统,19.9,Mattt，AFNetworking 和 Alamofire 作者，苹果前技术作家,2018-06-17T06:44:32.941Z,Swift 数字详解,https://juejin.im/book/5b260350e51d4558c2322fbe
