,title,url,author,fav,comment
106,Trunow - Mobile App,https://dribbble.com/shots/5809463-Trunow-Mobile-App,widelab,2847,47
107,Environment Protection Community Website,https://dribbble.com/shots/6565860-Environment-Protection-Community-Website,tubik,2842,37
108,Character Type,https://dribbble.com/shots/10392298-Character-Type,DeeKay,2837,87
109,New Condo,https://dribbble.com/shots/6554409-New-Condo,Guillaume Kurkdjian,2827,41
110,P - Web Design Exploration,https://dribbble.com/shots/6555182-P-Web-Design-Exploration,Balkan Brothers,2824,37
111,App design / Animation,https://dribbble.com/shots/6658746-App-design-Animation,Mike | Creative Mints,2822,42
112,Breakfast,https://dribbble.com/shots/5529911-Breakfast,Rwds,2818,50
113,Mobile book,https://dribbble.com/shots/7036347-Mobile-book,Nagrow,2806,48
114,Scrovex / Cloud Security,https://dribbble.com/shots/6719357-Scrovex-Cloud-Security,Mike | Creative Mints,2806,50
115,☀️ Light Mode ☀️ Simple Music Player,https://dribbble.com/shots/9517002--Light-Mode-Simple-Music-Player,Riotters,2806,77
116,Identity data visual,https://dribbble.com/shots/7040463-Identity-data-visual,Milkinside,2789,46
117,Skeuomorph Mobile Banking | Continuation,https://dribbble.com/shots/8297803-Skeuomorph-Mobile-Banking-Continuation,Heartbeat Agency,2787,76
118,Bogo Apps / Web site design,https://dribbble.com/shots/6285205-Bogo-Apps-Web-site-design,Mike | Creative Mints,2779,54
119,Explore the space,https://dribbble.com/shots/8071472-Explore-the-space,Marcato Studio,2772,79
120,Alexis Landing Page Illustration,https://dribbble.com/shots/6065408-Alexis-Landing-Page-Illustration,Paperpillar,2762,40
121,Space Education,https://dribbble.com/shots/8949293-Space-Education,unfold ,2757,89
122,D E S T I N A T I O N,https://dribbble.com/shots/6266456-D-E-S-T-I-N-A-T-I-O-N,Studio VØR ,2755,84
123,Design Course App UI,https://dribbble.com/shots/6482664-Design-Course-App-UI,UI8,2754,27
124,Taxi Driver App UI - SET 1,https://dribbble.com/shots/7194559-Taxi-Driver-App-UI-SET-1,Dtail Studio,2754,62
125,Taco Boss / Mobile game,https://dribbble.com/shots/7402284-Taco-Boss-Mobile-game,Mike | Creative Mints,2738,45
126,Multi search by categories,https://dribbble.com/shots/5922034-Multi-search-by-categories,Cuberto,2735,31
127,"Nice work, please check my work",https://dribbble.com/shots/6357566-Nice-work-please-check-my-work,Jonas Mosesson,2726,50
128,Mellow Walkthroughs,https://dribbble.com/shots/6519750-Mellow-Walkthroughs,UI8,2726,67
129,Ordering pizza immersive experience for Natural AI,https://dribbble.com/shots/6599249-Ordering-pizza-immersive-experience-for-Natural-AI,Gleb Kuznetsov✈,2708,66
130,Well Fitness App,https://dribbble.com/shots/6115502-Well-Fitness-App,Fireart Studio,2706,25
131,Wickret Landing Page Interaction,https://dribbble.com/shots/7598628-Wickret-Landing-Page-Interaction,Cuberto,2702,42
132,Fruits,https://dribbble.com/shots/9222608-Fruits,Yoga Perdana,2702,43
133,Ortico Logo Design,https://dribbble.com/shots/6613767-Ortico-Logo-Design,tubik,2697,58
134,Jelly Man,https://dribbble.com/shots/6145574-Jelly-Man,MUTI,2687,46
135,Wildpress app illustration,https://dribbble.com/shots/7252175-Wildpress-app-illustration,Zahidul,2684,82
136,Bakery and Beverages Mobile App Exploration,https://dribbble.com/shots/7392923-Bakery-and-Beverages-Mobile-App-Exploration,Paperpillar,2678,58
137,Japanese Courses Landing Page,https://dribbble.com/shots/6678558-Japanese-Courses-Landing-Page,Cuberto,2664,31
138,hello monday,https://dribbble.com/shots/7384471-hello-monday,R A D I O,2664,35
139,Estudio Mobile App UI Kit II,https://dribbble.com/shots/7742541-Estudio-Mobile-App-UI-Kit-II,UI8,2656,44
140,Sign in / Sign up UI,https://dribbble.com/shots/6371155-Sign-in-Sign-up-UI,Giga Tamarashvili,2654,27
141,Landing Page - TeamKids,https://dribbble.com/shots/6647571-Landing-Page-TeamKids,Outcrowd ,2645,46
142,Amsterdam West,https://dribbble.com/shots/6664433-Amsterdam-West,Julian Burford,2644,40
143,CUBIX — Project Collaboration and Organization,https://dribbble.com/shots/7080960-CUBIX-Project-Collaboration-and-Organization,Ben Schade,2638,51
144,Things are starting to get a little creepy...,https://dribbble.com/shots/7499689-Things-are-starting-to-get-a-little-creepy,MUTI,2635,31
145,Landing page - Meet brindle,https://dribbble.com/shots/6520524-Landing-page-Meet-brindle,Outcrowd ,2634,31
146,Empty States Animations II,https://dribbble.com/shots/6179228-Empty-States-Animations-II,UI8,2634,37
147,Leed Brokers,https://dribbble.com/shots/6987460-Leed-Brokers,Cosmin Capitanu,2632,39
148,File Explorer (UI map),https://dribbble.com/shots/6642256-File-Explorer-UI-map,Cuberto,2629,23
149,Carpooling App Design Concept,https://dribbble.com/shots/6238939-Carpooling-App-Design-Concept,Cuberto,2613,22
150,Photography Portfolio Concept - Dark Mode,https://dribbble.com/shots/5694008-Photography-Portfolio-Concept-Dark-Mode,InVision,2609,27
151,Sport activity dashboard application,https://dribbble.com/shots/6215241-Sport-activity-dashboard-application,Taras Migulko,2590,48
152,K A M U I,https://dribbble.com/shots/11180781-K-A-M-U-I,Studio VØR ,2582,116
153,Black Bird / Art Direction,https://dribbble.com/shots/6344365-Black-Bird-Art-Direction,Mike | Creative Mints,2576,46
154,Work Overtime,https://dribbble.com/shots/6263213-Work-Overtime,Uran,2565,80
155,Sphere Art,https://dribbble.com/shots/6001897-Sphere-Art,Gleb Kuznetsov✈,2561,24
156,Baby Breakfast,https://dribbble.com/shots/8835234-Baby-Breakfast,Rwds,2558,46
157,Web Illustrations,https://dribbble.com/shots/6583659-Web-Illustrations,Peter Tarka,2552,41
158,Walking The Dog,https://dribbble.com/shots/6239079-Walking-The-Dog,Uran,2544,68
159,Vacation House UX/UI map,https://dribbble.com/shots/8386945-Vacation-House-UX-UI-map,Cuberto,2544,35
160,TheHub - Homepage,https://dribbble.com/shots/7373856-TheHub-Homepage,Balkan Brothers,2536,40
161,Colors Matter / Patreon,https://dribbble.com/shots/9022592-Colors-Matter-Patreon,Mike | Creative Mints,2535,24
162,Urban Jungle - Landing Page,https://dribbble.com/shots/10000204-Urban-Jungle-Landing-Page,Outcrowd ,2517,57
163,S X F,https://dribbble.com/shots/8715940-S-X-F,Studio VØR ,2511,100
164,Extrude Interaction,https://dribbble.com/shots/6839124-Extrude-Interaction,𝔅𝔢𝔰𝔱𝔖𝔢𝔯𝔳𝔢𝔡𝔅𝔬𝔩𝔡,2506,60
165,Shape Up.,https://dribbble.com/shots/6800301-Shape-Up,Fireart Studio,2502,40
166,AVST Loader and Blog Animation,https://dribbble.com/shots/5942330-AVST-Loader-and-Blog-Animation,Sochnik,2496,39
167,Currency exchange platform,https://dribbble.com/shots/5923205-Currency-exchange-platform,widelab,2494,33
168,Ganesha.Social Ios Icon,https://dribbble.com/shots/6537710-Ganesha-Social-Ios-Icon,Yoga Perdana,2478,50
169,Smoking Hot,https://dribbble.com/shots/6317190-Smoking-Hot,Fireart Studio,2470,75
170,Sign up revamp,https://dribbble.com/shots/7757250-Sign-up-revamp,Dribbble,2469,43
171,Koi Fish,https://dribbble.com/shots/6380490-Koi-Fish,Gal Shir,2460,52
172,The Kiss,https://dribbble.com/shots/6917895-The-Kiss,Fireart Studio,2458,75
173,Climate & Animals: Extinction Crisis Microsite,https://dribbble.com/shots/6642692-Climate-Animals-Extinction-Crisis-Microsite,Daniel Tan,2455,80
174,ConsumerVoice Landing Page,https://dribbble.com/shots/8229052-ConsumerVoice-Landing-Page,Cuberto,2444,25
175,Introducing: A brand new Dribbble,https://dribbble.com/shots/10754232-Introducing-A-brand-new-Dribbble,Dribbble,2435,220
176,Client & the Designer,https://dribbble.com/shots/6752107-Client-the-Designer,Burnt Toast ®,2434,52
177,Calendar UI Interaction,https://dribbble.com/shots/9070223-Calendar-UI-Interaction,Daniel Tan,2430,69
178,Sweep Travel System,https://dribbble.com/shots/5923382-Sweep-Travel-System,Cuberto,2425,21
179,Dashboard User Interface,https://dribbble.com/shots/8232090-Dashboard-User-Interface,uixNinja,2418,82
180,Empty State Concept,https://dribbble.com/shots/6158849-Empty-State-Concept,Uran,2411,54
181,Neuro Marketing,https://dribbble.com/shots/6138884-Neuro-Marketing,Cosmin Capitanu,2404,37
182,Branding video for milkinside,https://dribbble.com/shots/9933607-Branding-video-for-milkinside,Milkinside,2398,54
183,Vinyls are not dead,https://dribbble.com/shots/6955747-Vinyls-are-not-dead,Fireart Studio,2397,55
184,Mountain Landscape Study,https://dribbble.com/shots/7111037-Mountain-Landscape-Study,Matt Carlson,2389,51
185,M - Dashboard,https://dribbble.com/shots/7332894-M-Dashboard,Balkan Brothers,2388,45
186,Assembly Payments - Homepage Animation,https://dribbble.com/shots/7184722-Assembly-Payments-Homepage-Animation,Balkan Brothers,2386,32
187,Mobile application - Plants,https://dribbble.com/shots/6492557-Mobile-application-Plants,Outcrowd ,2376,35
188,KONG Crypto 💸,https://dribbble.com/shots/7503020-KONG-Crypto,𝔅𝔢𝔰𝔱𝔖𝔢𝔯𝔳𝔢𝔡𝔅𝔬𝔩𝔡,2370,70
189,Audible Illustration Style Guide,https://dribbble.com/shots/6266520-Audible-Illustration-Style-Guide,Ramotion,2370,21
190,A good book has no ending,https://dribbble.com/shots/6226925-A-good-book-has-no-ending,Awsmd,2368,31
191,Explorer,https://dribbble.com/shots/6441984-Explorer,Felic Art,2359,54
192,Toolbar icons animation,https://dribbble.com/shots/5605168-Toolbar-icons-animation,Cuberto,2344,36
193,The Bazaar,https://dribbble.com/shots/5886597-The-Bazaar,Cosmin Capitanu,2337,37
194,Friendly rate choice (for fun),https://dribbble.com/shots/6598614-Friendly-rate-choice-for-fun,Cuberto,2332,46
195,swim.com - logo exploration,https://dribbble.com/shots/5888618-swim-com-logo-exploration,unfold ,2331,83
196,Dashboard - Sweet Ice Cream,https://dribbble.com/shots/7140223-Dashboard-Sweet-Ice-Cream,Outcrowd ,2330,26
197,Cryptocurrency Exchange Dashboard #5,https://dribbble.com/shots/6515872-Cryptocurrency-Exchange-Dashboard-5,Cuberto,2320,20
198,TheHub - Style Exploration 11,https://dribbble.com/shots/7185066-TheHub-Style-Exploration-11,Balkan Brothers,2319,25
199,First Slavic Pentecostal Church,https://dribbble.com/shots/7671181-First-Slavic-Pentecostal-Church,unfold ,2316,32
200,Workspace,https://dribbble.com/shots/9784895-Workspace,Peter Tarka,2314,40
201,Showreel '19,https://dribbble.com/shots/6822192-Showreel-19,Fireart Studio,2314,31
202,Watch Shop UI animation #2,https://dribbble.com/shots/7983525-Watch-Shop-UI-animation-2,Anton Skvortsov,2313,73
203,Sun and Moon,https://dribbble.com/shots/5593559-Sun-and-Moon,R A D I O,2309,35
204,Bomcom Apps / Web site design,https://dribbble.com/shots/10722982-Bomcom-Apps-Web-site-design,Mike | Creative Mints,2296,62
205,A daily activity combo clinical trial app,https://dribbble.com/shots/6488524-A-daily-activity-combo-clinical-trial-app,Cuberto,2294,21
206,Unfold - Refresh,https://dribbble.com/shots/7093667-Unfold-Refresh,unfold ,2294,41
207,Nativity,https://dribbble.com/shots/5746659-Nativity,Eddie Lobanovskiy,2292,54
208,Widgets/Cards,https://dribbble.com/shots/6077333-Widgets-Cards,widelab,2291,27
209,Sleepiest Start Page Design,https://dribbble.com/shots/10234933-Sleepiest-Start-Page-Design,Cuberto,2291,42
210,outdoor life.....wait for it,https://dribbble.com/shots/6288157-outdoor-life-wait-for-it,Markus Magnusson ,2290,26
211,Summer 2020,https://dribbble.com/shots/10971580-Summer-2020,Burnt Toast ®,2289,57
212,Mobile application - See and say,https://dribbble.com/shots/6452446-Mobile-application-See-and-say,Outcrowd ,2289,46
213,Geneseo Magazine,https://dribbble.com/shots/6220354-Geneseo-Magazine,Brian Edward Miller,2287,43
214,SE.NGI / Quantum Cloud Mining,https://dribbble.com/shots/6560110-SE-NGI-Quantum-Cloud-Mining,Mike | Creative Mints,2281,38
215,#5 Mindfulness Corner,https://dribbble.com/shots/6675273--5-Mindfulness-Corner,ranganath krishnamani,2281,51
216,Fire,https://dribbble.com/shots/6753841-Fire,Fireart Studio,2279,37
217,Patch - Dashboard - Deposits Listing,https://dribbble.com/shots/5929162-Patch-Dashboard-Deposits-Listing,Balkan Brothers,2270,17
218,Book Subscription App 📖,https://dribbble.com/shots/9532828-Book-Subscription-App,Riotters,2270,49
219,Nutracheck Website Redesign,https://dribbble.com/shots/10154541-Nutracheck-Website-Redesign,Cuberto,2267,56
220,Dashboard - CleanMac,https://dribbble.com/shots/9551899-Dashboard-CleanMac,Outcrowd ,2260,45
221,Student Profiles,https://dribbble.com/shots/6434277-Student-Profiles,UI8,2256,32
222,Vacation Display 1/2,https://dribbble.com/shots/6858722-Vacation-Display-1-2,Break Maiden,2251,29
223,Traffic of Tomorrow,https://dribbble.com/shots/6918269-Traffic-of-Tomorrow,Walid Beno,2250,36
224,Stripe Landing Page | Neomorphism,https://dribbble.com/shots/9807680-Stripe-Landing-Page-Neomorphism,Heartbeat Agency,2243,53
225,Shop Women's Clothing Web Page,https://dribbble.com/shots/6714974-Shop-Women-s-Clothing-Web-Page,Cuberto,2238,14
226,InVision Studio — Music Player,https://dribbble.com/shots/5785740-InVision-Studio-Music-Player,InVision,2238,37
227,NY City guide landing page motion design,https://dribbble.com/shots/6317545-NY-City-guide-landing-page-motion-design,Taras Migulko,2235,50
228,Crowdrise illos,https://dribbble.com/shots/5974943-Crowdrise-illos,unfold ,2234,32
229,Landing page. Above the fold - Charity,https://dribbble.com/shots/6726635-Landing-page-Above-the-fold-Charity,Outcrowd ,2228,47
230,ACE OF SPADES ♠️,https://dribbble.com/shots/9083416-ACE-OF-SPADES,Tony Babel,2220,43
231,Jam,https://dribbble.com/shots/11050872-Jam,UI8,2218,66
232,Growing 🌿 App,https://dribbble.com/shots/11207721-Growing-App,Fireart Studio,2217,76
233,Haruki Murakami - Book Author Website/UI Compilation,https://dribbble.com/shots/9342420-Haruki-Murakami-Book-Author-Website-UI-Compilation,Daniel Tan,2212,64
234,GitBets - Betting Platform,https://dribbble.com/shots/7699472-GitBets-Betting-Platform,Vlad Ermakov,2209,42
235,Redshift Basics / Patreon,https://dribbble.com/shots/7165452-Redshift-Basics-Patreon,Mike | Creative Mints,2206,31
236,Ghost 👻,https://dribbble.com/shots/7560854-Ghost,Gal Shir,2205,41
237,Landing Page - Autumn Nature Reserve,https://dribbble.com/shots/7151693-Landing-Page-Autumn-Nature-Reserve,Outcrowd ,2189,44
238,Adobe Fresco - Fall Foliage,https://dribbble.com/shots/7360530-Adobe-Fresco-Fall-Foliage,Matt Carlson,2188,40
239,Dashboard - Podkast Light,https://dribbble.com/shots/7209133-Dashboard-Podkast-Light,Outcrowd ,2178,47
240,Insurance Website Concept,https://dribbble.com/shots/6886633-Insurance-Website-Concept,Nathan Riley,2176,61
241,Mobile application -  Task planner,https://dribbble.com/shots/6857679-Mobile-application-Task-planner,Outcrowd ,2169,37
242,Bike Configuration,https://dribbble.com/shots/7120561-Bike-Configuration,Fireart Studio,2159,40
243,New Yorkers,https://dribbble.com/shots/9517603-New-Yorkers,Brad Cuzen,2159,36
244,Bank cards 3.0,https://dribbble.com/shots/9323126-Bank-cards-3-0,Dimest,2157,83
245,Grow Up,https://dribbble.com/shots/6506019-Grow-Up,Felic Art,2146,88
246,NIKE GLOW® TREATMENTS,https://dribbble.com/shots/6826634-NIKE-GLOW-TREATMENTS,green chameleon,2138,37
247,Foldable Phone Event App,https://dribbble.com/shots/6423376-Foldable-Phone-Event-App,Paperpillar,2138,43
248,Outer Space,https://dribbble.com/shots/7221105-Outer-Space,MUTI,2137,33
249,Google Fit,https://dribbble.com/shots/6805126-Google-Fit,unfold ,2133,67
250,Banana,https://dribbble.com/shots/6227844-Banana,Gal Shir,2127,36
251,Clio - Menopause Relief. iOS app user onboarding.,https://dribbble.com/shots/7770551-Clio-Menopause-Relief-iOS-app-user-onboarding,Netguru,2125,28
252,Freelance Life,https://dribbble.com/shots/6119852-Freelance-Life,Markus Magnusson ,2125,22
253,Animation SmashDown #9 - Big Prizes!!,https://dribbble.com/shots/5995016-Animation-SmashDown-9-Big-Prizes,Markus Magnusson ,2124,40
254,Dandelion,https://dribbble.com/shots/7753591-Dandelion,Gal Shir,2120,50
