,title,desc,author,profile,buyCount,price,publishDate,url
11,Vue 项目构建与开发入门,"从构建到开发，帮助 Vue 开发者提升项目构建与开发能力，基于 Vue CLI 3
",劳卜,高级前端工程师，掘金专栏作者，专注 Vue.js 开发,5181,9.9,2018-09-19,https://juejin.im/book/5b23a5aef265da59716fda09
12,微信小程序开发入门：从 0 到 1 实现天气小程序,从基础到实战，从开发环境搭建到开发、调试、上线，打通小程序开发全流程,三水清,资深 Web 前端工程师，十年互联网老司机,5143,9.9,2018-08-13T02:46:25.577Z,https://juejin.im/book/5b70f101e51d456669381803
13,JavaScript 设计模式核⼼原理与应⽤实践,通俗易懂的编程“套路“学。带你深入看似高深实则接地气的设计模式原理，在实际场景中内化设计模式的”道“与”术“。学会驾驭代码，而非被其奴役。,修言,《前端性能优化原理与实践》作者，一线电商集团前端工程师,5062,19.9,2019-09-16,https://juejin.im/book/5c70fc83518825428d7f9dfb
14,Vue.js 组件精讲,iView 作者 3 年的 Vue.js 组件开源积累，Vue.js 组件知识深入剖析,Aresn,视图更新科技创始人，iView 作者，前 TalkingData 前端架构师,4941,29.9,2018-11-30,https://juejin.im/book/5bc844166fb9a05cd676ebca
15,Web 前端面试指南与高频考题解析,找工作面试是门技术活，掌握一定技巧可以让你事半功倍,Alex007,百度 Web 前端工程师，资深面试官,4907,29.9,2018-03-07,https://juejin.im/book/5a8f9ddcf265da4e9f6fb959
16,深入理解 RPC : 基于 Python 自建分布式高并发 RPC 服务,通过「造轮子」自建 Python RPC 服务，深入理解分布式高并发原理与实践,老錢,掌阅服务端技术专家，互联网分布式高并发十年老兵,4683,19.9,2018-05-12,https://juejin.im/book/5af56a3c518825426642e004
17,Taro 多端开发实现原理与项目实战,剖析 Taro 多端开发框架的实现原理，并通过电商核心的项目实战，帮助开发者快速上手多端项目。,凹凸实验室,凹凸实验室,4374,9.9,2018-09-15,https://juejin.im/book/5b73a131f265da28065fb1cd
18,开发者必备的 Docker 实践指南,带你快速掌握 Docker 这项新时代开发者必备的工具,有明,全栈工程师，Docker 图书作者，Docker 第三方镜像项目发起者,4262,19.9,2018-12-05,https://juejin.im/book/5b7ba116e51d4556f30b476c
19,深入理解 TCP 协议：从原理到实战,用实验和图解的方式带你深入理解 TCP 协议，让 TCP 协议不再是拦路虎,挖坑的张师傅,小册《JVM 字节码从入门到精通》作者，CVTE 技术经理,4105,29.9,2019-09-15,https://juejin.im/book/5c70dbbe51882562046911bc
20,Flutter 完全手册,从开发到底层原理，手把手带你入门进阶 Flutter,小德_Kurt,腾讯高级工程师，一直从事Android开发和跨平台开发,4089,29.9,2019-05-15,https://juejin.im/book/5c5423ef6fb9a049cd54a213
21,如何使用 Canvas 制作出炫酷的网页背景特效,从零开始学习 Canvas 相关知识，分析其特效，最终制作出炫酷的网页背景,sunshine小小倩,饿了么 RMB FE,3937,9.9,2017-12-21,https://juejin.im/book/5a0ab8e2f265da43111fbab2
22,大厂 H5 开发实战手册,京东、腾讯等大厂 H5 开发或 UI 开发工程师的真实实战技巧,凹凸实验室,凹凸曼,3796,19.9,2018-03-15,https://juejin.im/book/5a7bfe595188257a7349b52a
23,JVM 字节码从入门到精通,深入剖析 JVM 字节码，带你分析字节码黑科技、破解软件、从零实现一个 APM,挖坑的张师傅,CVTE 技术经理,3196,19.9,2019-03-20,https://juejin.im/book/5c25811a6fb9a049ec6b23ee
24,React 实战：设计模式和最佳实践,深入了解 React 应用中的设计模式，总结业界验证的最佳实践，更进一步，了解React 未来新功能 Suspense 和 Hooks。,程墨,Hulu 架构师,3084,29.9,2018-09-20T23:07:48.051Z,https://juejin.im/book/5ba42844f265da0a8a6aa5e9
25,微信小游戏开发入门：从 0 到 1 实现井字棋游戏,构建自己的第一个微信小游戏，让你的社交和游戏创意变为现实,凹凸实验室,凹凸曼,2998,9.9,2018-08-31,https://juejin.im/book/5b7be023e51d4538850305d0
26,基于 hapi 的 Node.js 小程序后端开发实践指南,基于 Node.js 搭建敏捷高效的 RESTful 接口服务，走上小程序开发的全栈之路,叶盛飞,前网易高级开发工程师，Adobe 中国认证讲师,2870,9.9,2018-08-03T07:01:14.818Z,https://juejin.im/book/5b63fdba6fb9a04fde5ae6d0
27,图解  Kafka 之实战指南,从基础概念入手，再到原理深入，由浅入深理解 Kafka,朱小厮,某大型互联网公司基础架构部任职，著有《深入理解Kafka：核心设计与实践原理》和《RabbitMQ实战指南》，,2758,29.9,2019-03-04T15:38:38.479Z,https://juejin.im/book/5c7d467e5188251b9156fdc0
28,深入浅出TypeScript：从基础知识到类型编程,Vue3 源码及开发必备基础，从基础知识到类型工具设计，从理论到实战，手把手让你从零基础成为进阶使用者。,寻找海蓝96,前端工程师，公众号「程序员面试官」作者,2721,29.9,2019-10-11T13:43:48.717Z,https://juejin.im/book/5da08714518825520e6bb810
29,Kubernetes 从上手到实践,从上手实践到原理剖析，带你掌握 Kubernetes 必备技能。,张晋涛,网易有道资深运维开发，骨灰级 Linux 程序员，PyCon China 和 GITC 讲师,2651,19.9,2018-12-24,https://juejin.im/book/5b9b2dc86fb9a05d0f16c8ac
30,用 npm script 打造超溜的前端工作流,"抛弃笨重的构建工具，拥抱轻巧而不失强大的 npm
 script，随小册赠送视频版教程。",王仕军,ArcBlock 资深前端工程师,2621,19.9,2017-12-30,https://juejin.im/book/5a1212bc51882531ea64df07
31,基于 Python 实现微信公众号爬虫,爬虫基本原理、使用、抓包分析、存储数据、分析数据、数据可视化,刘志军,CSDN 讲师，公众号 Python 之禅作者,2550,19.9,2018-01-25,https://juejin.im/book/5a157c155188254a701eb3c1
32,程序员职业小白书 —— 如何规划和经营你的职业,职业上的错误是不能回滚的，将陪伴你一生，帮助每一位程序员规划自己的职业生涯,Easy,方糖气球博主，曾创业帮上千名程序员找到知名公司工作,2445,29.9,,https://juejin.im/book/59e17a7ff265da430629cc4e
33,MySQL 是怎样使用的：从零蛋开始学习 MySQL,来来来，你什么都不用会，真正的从零蛋开始系统又轻松地学习MySQL。,小孩子4919,公众号「我们都是小青蛙」作者，专注将复杂概念简单化。,2135,19.9,2019-10-08,https://juejin.im/book/5cc98974f265da03a54c2b37
34,基于 JavaScript 开发灵活的数据应用,使用 JavaScript、ECharts、Vue.js 等开发工具，完成各种数据结构的处理、转换、动态过滤以及数据可视化的开发。,小问iwillwen,阿里巴巴高级前端工程师,2029,29.9,2018-08-16,https://juejin.im/book/5a93727bf265da4e8c452960
35,前端算法与数据结构面试：底层逻辑解读与大厂真题训练,简明易懂的前端算法面试教学，接地气&说人话&大量图解，带你从编码基本功到手撕大厂真题、构建坚不可摧的算法能力体系,修言,一线电商集团前端工程师，《JavaScript 设计模式核心原理与应用实践》、《前端性能优化原理与实践》等小册作者,2003,29.9,2020-05-31,https://juejin.im/book/5cb42609f265da035f6fcb65
36,WebGL 入门与实践,介绍 WebGL 与 CSS 3D 开发的点点滴滴，详细阐述 3D 数学库的实现原理与使用，演示 3D 数学库对于 WebGL 开发和普通网页开发的重要作用，助力每个前端开发者轻松掌握 3D 开发的关键技术。,lucefer,某大型互联网公司前端工程师,1972,39.9,2018-09-26T03:00:05.761Z,https://juejin.im/book/5baaf635f265da0ab915cc9f
37,基于 Python 轻松自建 App 服务器,手把手教你一步步构建一套易扩展、成体系的 App 后端服务器,晓梦轻寒,腾讯高级后端工程师,1775,19.9,2018-04-26,https://juejin.im/book/5ac160745188255c3200df1c
38,SpringBoot 源码解读与原理分析,从熟悉的场景逐步深入源码底层，理解SpringBoot的设计和原理。,LinkedBear,前浪潮集团Java工程师,1598,29.9,2019-11-11,https://juejin.im/book/5da3bc3d6fb9a04e35597a76
39, 优秀的前端团队是如何炼成的,以宋小菜前端的成长历史，结合实际案例探讨前端团队从游击队到正规军如何从 0 到 1，工程师的价值如何最大化，技术栈基建规划如何有效落地，新人同学如何快速成长，枯燥机械式工作中如何突破天花板，帮助工程师更好把握自己职业脉络，做最优技术决策，实现体系化突破成长。,前端早早聊,宋小菜前端负责人,1551,18.0,2019-05-09,https://juejin.im/book/5cb56b7be51d456e3267e400
40,响应式编程 —— RxJava 高阶指南,研究响应式编程，探讨 ReactiveX 的底层概念和 RxJava 的高阶问题,拉丁吴,糗事百科 Android工程师，喜欢研究问题,1516,9.9,2017-12-24,https://juejin.im/book/5a09997cf265da432002bf6a
41,区块链开发入门：从 0 到 1 构建基于以太坊智能合约的 ICO DApp,写给前端开发者的第一本区块链开发入门指南，通过 DApp 开发实战（基于以太坊创始人  V 神的 DAICO 设计思想），深入掌握区块链及以太坊技术,王仕军,ArcBlock 资深前端工程师，专注区块链端应用开发,1495,69.0,2018-06-01,https://juejin.im/book/5addb2eb6fb9a07abd0d4557
42,从入门到深入：IM聊天系统前端开发实践,IM聊天为案例，系统性讲解前端核心知识点,马蹄矩阵,资深前端开发工程师,1428,19.9,2019-06-15,https://juejin.im/book/5c47343bf265da612b13e5c0
43,详解 Laravel 源码中优秀的设计模式,深入浅出地带你领略 Laravel 框架的设计模式美学，一本你不可或缺的设计模式范本,有明,全栈工程师，开源项目贡献者，关注基础理论和前沿技术,1203,19.9,2018-01-07,https://juejin.im/book/5a261d8f5188253ee45b4b21
44,图解 Kafka 之核心原理,从基础概念入手，再到原理深入，由浅入深理解 Kafka,朱小厮,某大型互联网公司基础架构部任职，著有《深入理解Kafka：核心设计与实践原理》和《RabbitMQ实战指南》，,1101,19.9,2019-03-04T13:24:31.993Z,https://juejin.im/book/5c7d270ff265da2d89634e9e
45,Python 实战：用 Scrapyd 打造个人化的爬虫部署管理控制台,拒绝裸奔，为你的 Scrapyd 增添权限验证、自定义 API、开发数据统计和美化界面的功能，带你逐步实现「唯你可用」的爬虫部署管理控制台。,夜幕镇岳丨韦世东,资深爬虫工程师,1093,29.9,2018-10-04T08:48:58.186Z,https://juejin.im/book/5bb5d3fa6fb9a05d2a1d819a
46,数字货币与区块链原理,深入了解区块链、挖矿、钱包、签名等技术原理，对未来的数字货币世界做好准备,廖雪峰,软件架构师，精通数字货币和区块链,1090,29.9,,https://juejin.im/book/59f954546fb9a04525776d7c
47,Python数据分析实战：构建股票量化交易系统,以股票数据为分析标的，以搭建量化交易策略为学习场景，由基础工具的使用逐步进阶到策略的设计，由浅入深、由技术到思维地为读者讲解Python金融数据分析和挖掘技术在股票量化交易中的应用。,元宵大师,掘金优秀作者|资深Python数据分析师,1011,39.9,2019-04-30T12:49:47.662Z,https://juejin.im/book/5c7bcd6b6fb9a049a7128934
48,React SSR 服务端渲染原理解析与同构实践,全网最完整的 React SSR 同构技术原理解析与实践，从零开始手把手带你打造自己的同构应用开发骨架，帮助大家彻底深入理解服务端渲染及底层实现原理，学完本课程，你也可以打造自己的同构框架。,zz_jesse,全栈工程师、公众号「前端技术江湖」作者、react ssr 应用开发骨架「zz.js」作者。,949,19.9,2020-02-02,https://juejin.im/book/5d8ae0c2f265da5bb065c6f4
49,基于 ThreeJS 框架的魔方微信小游戏实践,从 0 到 1，一步步带你基于 ThreeJS 实现一个炫酷的魔方微信小游戏,NewbieYoung,腾讯 ISUX UI工程师,925,9.9,2019-01-07,https://juejin.im/book/5bc6bebee51d450e7e51c19c
50,Spring Boot 大型线上商城项目实战教程,Spring Boot 技术栈真实应用案例,我是十三,Java 高级开发工程师,903,69.0,2019-01-30,https://juejin.im/book/5da2f9d4f265da5b81794d48
51,SVG 动画开发实战手册,从0到1，学习SVG动画开发知识，快速高效完成SVG动画效果开发。,聆木听风,腾讯UI开发工程师,842,9.9,2018-12-26,https://juejin.im/book/5c01f06af265da61171c7656
52,基于 NodeJS 构建 GraphQL API 服务,基于 Node.js 搭建敏捷高效的 GraphQL 接口服务，从理论到实战到上线，让你的知识更加丰富,praise,某大型互联网公司前端工程师,811,19.9,2020-02-28,https://juejin.im/book/5e588e04518825492b50b274
53,Android 进阶：基于 Kotlin 的 Android App 开发实践,快速上手 Kotlin 独有新特性，整合 Android 常用框架及 MVVM 思想进行 App 开发,Tony沈哲,<< RxJava 2.x 实战 >> 作者,773,19.9,2020-01-25,https://juejin.im/book/5af1c5ee6fb9a07a9f018368
54,使用 Swift Codable 进行高效的数据编解码,使用 Swift 4 新特性 Codable，用更少的代码，更快地实现数据编解码,飞行学校,Mattt，AFNetworking 和 Alamofire 作者，苹果前技术作家,452,29.9,2018-04-20T06:26:15.266Z,https://juejin.im/book/5ad19f07518825364001dd49
55,深入理解NLP的中文分词：从原理到实践,在中文的语言环境里，中文分词是NLP基础中的基础，核心中的核心，直接影响着各种NLP任务最后的结果质量。,周兴博,掌阅科技NLP技术专家,385,39.9,2019-12-10,https://juejin.im/book/5d9ea8fff265da5b81794756
56,基于 Swoole 的联机对战游戏实践,仅仅游戏玩得好已经不能满足了，干脆用Swoole来写一个游戏吧！,写程序的赵童鞋,西山居后端工程师,266,19.9,2019-06-01,https://juejin.im/book/5ce56d84e51d45775964866b
57,SwiftUI实战，带你入门苹果最新的UI开发框架,SwiftUI是苹果在2019年WWDC发布的全新UI框架，拥有声明式语法，跨平台开发以及实时预览的特性。本小册主要内容以SwiftUI的入门开发为主。适宜零基础入门iOS开发，内含一个的项目的开发教程，向大家讲解swiftUI的页面布局，状态绑定，数据流等内容。,zixiao233,某大型股份制银行开发,256,19.9,2019-11-25,https://juejin.im/book/5db6b0fa6fb9a020446c5278
58,Swift 数字详解,从理论到应用，全面介绍 Swift 4 中面向协议的数字系统,飞行学校,Mattt，AFNetworking 和 Alamofire 作者，苹果前技术作家,229,19.9,2018-06-17T06:44:32.941Z,https://juejin.im/book/5b260350e51d4558c2322fbe
59,[视频] Flutter 实战详解：企业级移动电商开发,手把手教你一起用 Flutter 开发一个移动电商 App,技术胖,前端技术专家,225,368.0,2019-06-30,https://juejin.im/book/5cdbc3615188254b1a0743f1
